timestamp,event,mint,symbol,price_usd,size_usd,fee_usd,pnl_usd,reason
2026-08-25 14:09:43,BUY,MOCK00001,TKN1,0.00855151,3.00,0.0375,,needs 1.075x to exit profitably
2026-08-25 14:09:46,SELL,MOCK00001,TKN1,0.00962913,3.41,0.0385,0.3361,take_profit
2026-08-25 14:09:48,SKIP,MOCK00002,TKN2,,,,,too_few_holders
2026-08-25 14:09:48,SKIP,MOCK00003,TKN3,,,,,too_few_holders
2026-08-25 14:09:52,SKIP,MOCK00004,TKN4,,,,,concentration_risk
2026-08-25 14:09:54,SKIP,MOCK00005,TKN5,,,,,concentration_risk
2026-08-25 14:16:17,SKIP,8CfMGsD2tEp8DN1xJ1FhSgx144c2AhqMDytJeew9pump,IVY,,,,,concentration_risk
2026-08-25 14:16:41,SKIP,CcqTFuCvGBau8fPqzPgC9eTkEVrUQ5PNJSrgJ3EEpump,BM,,,,,liquidity_too_low
2026-08-25 14:17:29,SKIP,J289x3zbffMn2Moy5QZKszeTyfSw7ZnDDoEWGasjpump,DOLLY,,,,,liquidity_too_low
2026-08-25 14:26:29,SKIP,MOCK00001,TKN1,,,,,concentration_risk
2026-08-25 14:26:37,SKIP,MOCK00002,TKN2,,,,,concentration_risk
2026-08-25 14:26:38,SKIP,MOCK00003,TKN3,,,,,concentration_risk
2026-08-25 14:26:38,SKIP,MOCK00004,TKN4,,,,,liquidity_too_low
2026-08-25 14:26:41,SKIP,MOCK00005,TKN5,,,,,concentration_risk
2026-08-25 14:26:44,SKIP,MOCK00006,TKN6,,,,,lp_not_locked
2026-08-25 14:26:49,SKIP,MOCK00007,TKN7,,,,,concentration_risk
2026-08-25 14:26:58,BUY,MOCK00008,TKN8,0.00741289,3.00,0.0375,,needs 1.075x to exit profitably
2026-08-25 14:26:59,BUY,MOCK00009,TKN9,0.00634610,3.00,0.0375,,needs 1.075x to exit profitably
2026-08-25 14:26:59,SELL,MOCK00008,TKN8,0.00829407,3.39,0.0385,0.3145,take_profit
2026-08-25 14:26:59,SELL,MOCK00009,TKN9,0.00778195,3.72,0.0393,0.6391,take_profit
2026-08-25 14:27:02,SKIP,MOCK00010,TKN10,,,,,concentration_risk
2026-08-25 14:27:13,SKIP,MOCK00011,TKN11,,,,,too_few_holders
2026-08-25 14:27:14,SKIP,MOCK00012,TKN12,,,,,concentration_risk
2026-08-25 14:27:15,SKIP,MOCK00013,TKN13,,,,,concentration_risk
2026-08-25 14:27:15,SKIP,MOCK00014,TKN14,,,,,authority_not_renounced
2026-08-25 14:27:18,SKIP,MOCK00015,TKN15,,,,,too_few_holders
2026-08-25 14:27:18,SKIP,MOCK00016,TKN16,,,,,concentration_risk
2026-08-25 14:27:20,SKIP,MOCK00017,TKN17,,,,,liquidity_too_low
2026-08-25 14:27:23,SKIP,MOCK00018,TKN18,,,,,concentration_risk
2026-08-25 14:27:24,SKIP,MOCK00019,TKN19,,,,,concentration_risk
2026-08-25 14:27:29,BUY,MOCK00020,TKN20,0.00035444,3.00,0.0375,,needs 1.075x to exit profitably
2026-08-25 14:27:29,SKIP,MOCK00021,TKN21,,,,,concentration_risk
